page,clicks,impressions,ctr,position
https://mononikki.com/,1,1,100,1
https://mononikki.com/posts/brita-water-purifier/,1,1,100,2
https://mononikki.com/categories/%E3%81%BE%E3%81%A8%E3%82%81/,0,1,0,2
https://mononikki.com/categories/%E8%A7%A3%E8%AA%AC/,0,1,0,3
https://mononikki.com/posts/dishwasher-tabletop/,0,1,0,10
https://mononikki.com/posts/kids-water-bottle-guide/,0,3,0,7.7
https://mononikki.com/posts/roomba-mini/,0,12,0,7.2
https://mononikki.com/posts/wireless-earphones-ranking/,0,12,0,7
https://mononikki.com/tags/%E3%81%8A%E5%BD%B9%E7%AB%8B%E3%81%A1/,0,1,0,4
https://mononikki.com/tags/%E3%83%86%E3%83%AC%E3%83%AF%E3%83%BC%E3%82%AF/,0,1,0,6
https://mononikki.com/tags/%E3%83%AB%E3%83%B3%E3%83%90-%E3%83%9F%E3%83%8B/,0,1,0,7
https://mononikki.com/tags/%E3%83%AC%E3%83%93%E3%83%A5%E3%83%BC/,0,1,0,5
https://mononikki.com/tags/apple/,0,1,0,9
